"Step","resnet50_224_aug - acc","resnet50_224_aug - acc__MIN","resnet50_224_aug - acc__MAX","resnet18_224 - acc","resnet18_224 - acc__MIN","resnet18_224 - acc__MAX","resnet50_32_aug_3x3_relu - acc","resnet50_32_aug_3x3_relu - acc__MIN","resnet50_32_aug_3x3_relu - acc__MAX","resnet18_32_aug_3x3 - acc","resnet18_32_aug_3x3 - acc__MIN","resnet18_32_aug_3x3 - acc__MAX","resnet50_224 - acc","resnet50_224 - acc__MIN","resnet50_224 - acc__MAX","resnet50_32_aug_3x3 - acc","resnet50_32_aug_3x3 - acc__MIN","resnet50_32_aug_3x3 - acc__MAX"
"0","0.7593","0.7593","0.7593","0.782","0.782","0.782","0.3633","0.3633","0.3633","0.3335","0.3335","0.3335","0.7824","0.7824","0.7824","0.3517","0.3517","0.3517"
"1","0.7802","0.7802","0.7802","0.7958","0.7958","0.7958","0.3684","0.3684","0.3684","0.3524","0.3524","0.3524","0.801","0.801","0.801","0.3719","0.3719","0.3719"
"2","0.7901","0.7901","0.7901","0.7983","0.7983","0.7983","0.3855","0.3855","0.3855","0.3475","0.3475","0.3475","0.8111","0.8111","0.8111","0.3814","0.3814","0.3814"
"3","0.7958","0.7958","0.7958","0.803","0.803","0.803","0.3834","0.3834","0.3834","0.3496","0.3496","0.3496","0.8145","0.8145","0.8145","0.3725","0.3725","0.3725"
"4","0.7953","0.7953","0.7953","0.8","0.8","0.8","0.3912","0.3912","0.3912","0.3496","0.3496","0.3496","0.816","0.816","0.816","0.3723","0.3723","0.3723"
"5","0.802","0.802","0.802","0.8024","0.8024","0.8024","0.3906","0.3906","0.3906","0.3489","0.3489","0.3489","0.8194","0.8194","0.8194","0.3775","0.3775","0.3775"
"6","0.803","0.803","0.803","0.8049","0.8049","0.8049","0.3921","0.3921","0.3921","0.3546","0.3546","0.3546","0.8232","0.8232","0.8232","0.3789","0.3789","0.3789"
"7","0.8064","0.8064","0.8064","0.8085","0.8085","0.8085","0.3994","0.3994","0.3994","0.3584","0.3584","0.3584","0.8225","0.8225","0.8225","0.3759","0.3759","0.3759"
"8","0.8077","0.8077","0.8077","0.8055","0.8055","0.8055","0.3919","0.3919","0.3919","0.3532","0.3532","0.3532","0.8246","0.8246","0.8246","0.3774","0.3774","0.3774"
"9","0.8084","0.8084","0.8084","0.8028","0.8028","0.8028","0.4037","0.4037","0.4037","0.3517","0.3517","0.3517","0.824","0.824","0.824","0.3799","0.3799","0.3799"
"10","0.8055","0.8055","0.8055","0.8088","0.8088","0.8088","0.4098","0.4098","0.4098","0.3642","0.3642","0.3642","0.8268","0.8268","0.8268","0.3772","0.3772","0.3772"
"11","0.8134","0.8134","0.8134","0.8087","0.8087","0.8087","0.4081","0.4081","0.4081","0.3606","0.3606","0.3606","0.8259","0.8259","0.8259","0.3792","0.3792","0.3792"
"12","0.8097","0.8097","0.8097","0.8075","0.8075","0.8075","0.4073","0.4073","0.4073","0.3611","0.3611","0.3611","0.8218","0.8218","0.8218","0.373","0.373","0.373"
"13","0.8109","0.8109","0.8109","0.8073","0.8073","0.8073","0.4011","0.4011","0.4011","0.3535","0.3535","0.3535","0.8234","0.8234","0.8234","0.3731","0.3731","0.3731"
"14","0.815","0.815","0.815","0.812","0.812","0.812","0.4086","0.4086","0.4086","0.3538","0.3538","0.3538","0.8248","0.8248","0.8248","0.3737","0.3737","0.3737"
"15","0.8138","0.8138","0.8138","0.8036","0.8036","0.8036","0.4075","0.4075","0.4075","0.3563","0.3563","0.3563","0.8256","0.8256","0.8256","0.3784","0.3784","0.3784"
"16","0.8149","0.8149","0.8149","0.8091","0.8091","0.8091","0.4064","0.4064","0.4064","0.3581","0.3581","0.3581","0.8208","0.8208","0.8208","0.3793","0.3793","0.3793"
"17","0.8161","0.8161","0.8161","0.8027","0.8027","0.8027","0.4113","0.4113","0.4113","0.364","0.364","0.364","0.8232","0.8232","0.8232","0.3827","0.3827","0.3827"
"18","0.8117","0.8117","0.8117","0.811","0.811","0.811","0.4038","0.4038","0.4038","0.3619","0.3619","0.3619","0.8223","0.8223","0.8223","0.3785","0.3785","0.3785"
"19","0.8116","0.8116","0.8116","0.8084","0.8084","0.8084","0.4049","0.4049","0.4049","0.3565","0.3565","0.3565","0.8237","0.8237","0.8237","0.3729","0.3729","0.3729"
"20","0.9484","0.9484","0.9484","0.9173","0.9173","0.9173","0.7908","0.7908","0.7908","0.7305","0.7305","0.7305","0.9466","0.9466","0.9466","0.8019","0.8019","0.8019"
"21","0.9566","0.9566","0.9566","0.9404","0.9404","0.9404","0.8649","0.8649","0.8649","0.7774","0.7774","0.7774","0.9567","0.9567","0.9567","0.8747","0.8747","0.8747"
"22","0.9617","0.9617","0.9617","0.9469","0.9469","0.9469","0.8925","0.8925","0.8925","0.8338","0.8338","0.8338","0.963","0.963","0.963","0.9002","0.9002","0.9002"
"23","0.964","0.964","0.964","0.9512","0.9512","0.9512","0.9017","0.9017","0.9017","0.8343","0.8343","0.8343","0.9646","0.9646","0.9646","0.9044","0.9044","0.9044"
"24","0.9676","0.9676","0.9676","0.9546","0.9546","0.9546","0.9095","0.9095","0.9095","0.8597","0.8597","0.8597","0.9647","0.9647","0.9647","0.9131","0.9131","0.9131"
"25","0.9665","0.9665","0.9665","0.9547","0.9547","0.9547","0.9113","0.9113","0.9113","0.8694","0.8694","0.8694","0.9648","0.9648","0.9648","0.9193","0.9193","0.9193"
"26","0.9692","0.9692","0.9692","0.9562","0.9562","0.9562","0.925","0.925","0.925","0.8706","0.8706","0.8706","0.9655","0.9655","0.9655","0.9233","0.9233","0.9233"
