"Step","resnet50_224_aug - loss","resnet50_224_aug - loss__MIN","resnet50_224_aug - loss__MAX","resnet18_224 - loss","resnet18_224 - loss__MIN","resnet18_224 - loss__MAX","resnet50_32_aug_3x3_relu - loss","resnet50_32_aug_3x3_relu - loss__MIN","resnet50_32_aug_3x3_relu - loss__MAX","resnet18_32_aug_3x3 - loss","resnet18_32_aug_3x3 - loss__MIN","resnet18_32_aug_3x3 - loss__MAX","resnet50_224 - loss","resnet50_224 - loss__MIN","resnet50_224 - loss__MAX","resnet50_32_aug_3x3 - loss","resnet50_32_aug_3x3 - loss__MIN","resnet50_32_aug_3x3 - loss__MAX"
"0","0.9939156593704224","0.9939156593704224","0.9939156593704224","0.9045235050010682","0.9045235050010682","0.9045235050010682","1.9079174036407471","1.9079174036407471","1.9079174036407471","2.0208219827270506","2.0208219827270506","2.0208219827270506","0.9112602121162414","0.9112602121162414","0.9112602121162414","1.9643233557128905","1.9643233557128905","1.9643233557128905"
"1","0.7171503104400635","0.7171503104400635","0.7171503104400635","0.6273927153968811","0.6273927153968811","0.6273927153968811","1.8170848009490967","1.8170848009490967","1.8170848009490967","1.9043496781158447","1.9043496781158447","1.9043496781158447","0.6223359864044189","0.6223359864044189","0.6223359864044189","1.8412881842803954","1.8412881842803954","1.8412881842803954"
"2","0.6607442728042603","0.6607442728042603","0.6607442728042603","0.5878057217597962","0.5878057217597962","0.5878057217597962","1.7911982578277588","1.7911982578277588","1.7911982578277588","1.880500362815857","1.880500362815857","1.880500362815857","0.5573422473812103","0.5573422473812103","0.5573422473812103","1.8197812149047852","1.8197812149047852","1.8197812149047852"
"3","0.6276255604362487","0.6276255604362487","0.6276255604362487","0.5661266897010804","0.5661266897010804","0.5661266897010804","1.7736127563858033","1.7736127563858033","1.7736127563858033","1.8781923028945924","1.8781923028945924","1.8781923028945924","0.5231419556808472","0.5231419556808472","0.5231419556808472","1.81864400390625","1.81864400390625","1.81864400390625"
"4","0.607541997795105","0.607541997795105","0.607541997795105","0.555918161945343","0.555918161945343","0.555918161945343","1.7660064154052735","1.7660064154052735","1.7660064154052735","1.8811990398406981","1.8811990398406981","1.8811990398406981","0.4982473045158386","0.4982473045158386","0.4982473045158386","1.8055278830718995","1.8055278830718995","1.8055278830718995"
"5","0.5965924589157104","0.5965924589157104","0.5965924589157104","0.549485722541809","0.549485722541809","0.549485722541809","1.7575264287948609","1.7575264287948609","1.7575264287948609","1.8694829483413695","1.8694829483413695","1.8694829483413695","0.4782779413986206","0.4782779413986206","0.4782779413986206","1.8078394409942626","1.8078394409942626","1.8078394409942626"
"6","0.5847579527282715","0.5847579527282715","0.5847579527282715","0.543204695224762","0.543204695224762","0.543204695224762","1.7506116985321045","1.7506116985321045","1.7506116985321045","1.8751314388656617","1.8751314388656617","1.8751314388656617","0.46713507615089417","0.46713507615089417","0.46713507615089417","1.8095182621002197","1.8095182621002197","1.8095182621002197"
"7","0.5784423550319672","0.5784423550319672","0.5784423550319672","0.5374976445388794","0.5374976445388794","0.5374976445388794","1.7424628955459596","1.7424628955459596","1.7424628955459596","1.8705423587799073","1.8705423587799073","1.8705423587799073","0.45563732345581054","0.45563732345581054","0.45563732345581054","1.8098096432495117","1.8098096432495117","1.8098096432495117"
"8","0.5700958736419678","0.5700958736419678","0.5700958736419678","0.5356702424526215","0.5356702424526215","0.5356702424526215","1.7358572350311279","1.7358572350311279","1.7358572350311279","1.871788503074646","1.871788503074646","1.871788503074646","0.44576923122406004","0.44576923122406004","0.44576923122406004","1.8032857006454468","1.8032857006454468","1.8032857006454468"
"9","0.5666749634933471","0.5666749634933471","0.5666749634933471","0.5302598977756501","0.5302598977756501","0.5302598977756501","1.738139203567505","1.738139203567505","1.738139203567505","1.8759173276138306","1.8759173276138306","1.8759173276138306","0.43550435762405393","0.43550435762405393","0.43550435762405393","1.811311424179077","1.811311424179077","1.811311424179077"
"10","0.5524210850143433","0.5524210850143433","0.5524210850143433","0.5285243048095704","0.5285243048095704","0.5285243048095704","1.729039362449646","1.729039362449646","1.729039362449646","1.868480128326416","1.868480128326416","1.868480128326416","0.42772450755119323","0.42772450755119323","0.42772450755119323","1.8078732083129883","1.8078732083129883","1.8078732083129883"
"11","0.5477253185272217","0.5477253185272217","0.5477253185272217","0.5223680727005005","0.5223680727005005","0.5223680727005005","1.7172574146270752","1.7172574146270752","1.7172574146270752","1.8725680368041993","1.8725680368041993","1.8725680368041993","0.420019626121521","0.420019626121521","0.420019626121521","1.8023403562164306","1.8023403562164306","1.8023403562164306"
"12","0.5509101326560975","0.5509101326560975","0.5509101326560975","0.5249449186515808","0.5249449186515808","0.5249449186515808","1.7141616906738282","1.7141616906738282","1.7141616906738282","1.874695400314331","1.874695400314331","1.874695400314331","0.417697292766571","0.417697292766571","0.417697292766571","1.8043097323989867","1.8043097323989867","1.8043097323989867"
"13","0.5479157469177246","0.5479157469177246","0.5479157469177246","0.5209980013275146","0.5209980013275146","0.5209980013275146","1.714660790977478","1.714660790977478","1.714660790977478","1.8732908935928345","1.8732908935928345","1.8732908935928345","0.4133747644329071","0.4133747644329071","0.4133747644329071","1.8110548224639893","1.8110548224639893","1.8110548224639893"
"14","0.5491619526290894","0.5491619526290894","0.5491619526290894","0.5199594120597839","0.5199594120597839","0.5199594120597839","1.714200668296814","1.714200668296814","1.714200668296814","1.8740332962799073","1.8740332962799073","1.8740332962799073","0.40905301688194273","0.40905301688194273","0.40905301688194273","1.8119282726287842","1.8119282726287842","1.8119282726287842"
"15","0.5424182157707215","0.5424182157707215","0.5424182157707215","0.5194261213493347","0.5194261213493347","0.5194261213493347","1.7083135982513429","1.7083135982513429","1.7083135982513429","1.871325218887329","1.871325218887329","1.871325218887329","0.40431827171325685","0.40431827171325685","0.40431827171325685","1.7989729723739625","1.7989729723739625","1.7989729723739625"
